step,episode_reward,episodic_memory_size,explore_ratio,replay_size,total_steps
1,35.0,35,0.99525,35,35
2,27.0,62,0.9905,62,62
3,14.0,76,0.98575,76,76
4,21.0,97,0.981,97,97,-5.472797493934632,12.115089893341064,0.6926061350107193,0.9716540402173997,1.4135893423482775,0.4281877503544092,1.090093367099762,0.05350748417899012,0.14865314669907093,0.7393577262759209
5,15.0,112,0.97625,112,112,-7.12953966140747,8.23309628009796,0.6927804911136627,0.9069876807928086,5.37409291267395,0.077133006490767,1.1362161469459533,0.01423876448534429,0.029269748236984014,0.23426313415169717
6,18.0,130,0.9715,130,130,-10.081464166641235,10.205555419921875,0.6928805738687516,0.8871201968193054,9.143088994026185,0.037033619601279495,1.1100523126125337,0.009363700882531703,0.018661147495731712,0.1760637007653713
7,30.0,160,0.96675,160,160,-11.263357830047607,11.974262638092041,0.6929504519701004,0.8862908858060837,10.867437705993652,0.027397553734481335,1.076509598493576,0.008105948544107377,0.01249533824622631,0.15564980164170264
8,21.0,181,0.962,181,181,-9.783461933135987,10.148768367767333,0.6929974371194839,0.865368881225586,9.369760904312134,0.01969254242256284,1.0703379392623902,0.006633623484522105,0.008947115344926714,0.1423070764541626
9,30.0,211,0.95725,211,211,-7.955121531486511,6.740325245857239,0.6930194044113159,0.8284633505344391,7.396841125488281,0.015069709192030132,1.0639015853404998,0.005030833911150694,0.0063799733063206075,0.13287067666649818
10,14.0,225,0.9525,225,225,-7.925289425849915,7.700719065666199,0.6930313462018967,0.806426100730896,7.424000878334045,0.012266390807926655,1.0576976120471955,0.004135729956906289,0.004774822816252708,0.12694670662283897
11,32.0,257,0.94775,257,257,-8.30948489189148,8.027971844673157,0.693041940331459,0.8010220211744309,7.789569201469422,0.012920340560376643,1.0599719870090485,0.004168698333669454,0.004109741158317775,0.1271959801763296
12,18.0,275,0.9430000000000001,275,275,-7.97698477268219,7.656462931632996,0.6930497503280639,0.7788462257385254,7.534908742904663,0.009214547723531722,1.0450518310070038,0.0032165789301507176,0.003066398312803358,0.1200027097016573
13,36.0,311,0.93825,311,311,-8.820207586288452,8.712780933380127,0.6930598491430282,0.7814676070213318,8.407795372009277,0.00448777851765044,1.0361352729797364,0.0029116308828815818,0.0021063541888725014,0.11311929233372212
14,14.0,325,0.9335,325,325,-8.817515168190003,8.980095295906066,0.6930628007650376,0.764925092458725,8.47290150642395,0.006087051990907639,1.0493150770664215,0.0025957169104367495,0.0020504608389455823,0.1156647389382124
15,23.0,348,0.92875,348,348,-7.743124508857727,7.516040253639221,0.6930675053596497,0.744073970913887,7.511269307136535,0.004511615589726716,1.0364500844478608,0.0022069158288650216,0.001692640179535374,0.11205618165433406
16,35.0,383,0.924,383,383,-8.947306003570556,9.024102354049683,0.6930744254589081,0.7725231915712356,8.690723342895508,0.007867770205484704,1.0361639392375945,0.0026212101278360934,0.0022045813244767486,0.11630995683372021
17,15.0,398,0.91925,398,398,-8.576489534378052,8.32044650554657,0.6930790215730667,0.757614077925682,8.34189398765564,0.003194184508174658,1.0223595714569091,0.001718416946241632,0.0011742592183873058,0.10832281969487667
18,25.0,423,0.9145,423,423,-8.819038333892822,8.719863758087158,0.6930831867456436,0.7624950540065766,8.576339979171753,0.006871474985964596,1.0440036809444428,0.002177079397952184,0.0016414991160854696,0.11509042292833328
19,13.0,436,0.9097500000000001,436,436,-8.15020267009735,7.743114800453186,0.6930864977836609,0.7405259251594544,7.938384976387024,0.003483392132911831,1.0195096027851105,0.0016806107817683368,0.0011846353940200061,0.10829959988594055
20,27.0,463,0.905,463,463,-8.445859484672546,8.247966384887695,0.6930854386091232,0.7519524210691452,8.205941314697265,0.00659327806904912,1.0418355405330657,0.0018129710166249423,0.0016525625914800912,0.11424236744642258
21,18.0,481,0.90025,481,481,-8.122186551094055,7.624612426757812,0.6930904555320739,0.7348070895671844,7.882018890380859,0.0031386635208036752,1.0197988426685334,0.0014030671527143568,0.0011027374677360059,0.10762435391545296
22,21.0,502,0.8955,502,502,-8.211340160369874,7.607460150718689,0.6930947959423065,0.7395522636175156,7.94434054851532,0.0019008617498911917,1.0179603123664855,0.0012032040354097262,0.000782099133648444,0.10568219773471356
23,10.0,512,0.89075,512,512,-7.665357661247254,7.1500106620788575,0.6930967712402344,0.7145128965377807,7.404883913993835,0.0018845678574871273,1.0160680246353149,0.0010880036075832321,0.0007345711148809642,0.1053139465302229
24,24.0,536,0.886,536,536,-8.053697032928467,7.728298492431641,0.6930901968479156,0.7202065807580947,7.760843906402588,0.007733423041645438,1.0364156806468963,0.0016686679248232395,0.0016024378762813285,0.11464609816670418
25,23.0,559,0.88125,559,559,-9.095074892044067,9.6227223777771,0.6930939930677414,0.7826890766620636,8.89021960735321,0.010499538896838204,1.036692749261856,0.0016305575508158655,0.0019908093707636,0.11779018253087997
26,15.0,574,0.8765000000000001,574,574,-8.574256162643433,8.93300343990326,0.6930991536378861,0.7532766878604888,8.3157390832901,0.005223678089678287,1.024778081178665,0.001487399460747838,0.0013160190248163418,0.11050490632653237
27,14.0,588,0.87175,588,588,-9.42114525794983,10.312628440856933,0.6931035554409027,0.7684246027469634,9.182387361526489,0.0038281155715230854,1.0202001130580902,0.001162250583874993,0.0010698657215107233,0.10808024428784847
28,37.0,625,0.867,625,625,-9.253173899650573,9.818016748428345,0.6930587774515152,0.8444994640350342,9.023422183990478,0.1348175064660609,1.2739337921142577,0.013414198987884447,0.0232566993299406,0.2988817845284939
29,16.0,641,0.86225,641,641,-9.189718689918518,10.089120864868164,0.6930845296382904,0.8243908125162125,8.951255331039428,0.023241210822016002,1.054930750131607,0.004500016930978745,0.0063722008978948,0.13960650451481343
30,10.0,651,0.8575,651,651,-8.63313720703125,8.988218865394593,0.6930907440185546,0.7922675615549087,8.39764202594757,0.014756647758185864,1.0357516837120055,0.002683798735961318,0.003703763398807496,0.1247193805873394
