step,episode_reward,episodic_memory_size,explore_ratio,replay_size,total_steps
1,17.0,17,0.99525,17,17
2,16.0,33,0.9905,33,33
3,24.0,57,0.98575,57,57
4,15.0,72,0.981,72,72,-4.13031854391098,7.2210859251022335,0.6925889730453492,0.9169112223386765,1.3560961866378785,0.40863290831446647,1.080818736553192,0.05176159795373678,0.12919067960232497,0.6976670622825623
5,14.0,86,0.97625,86,86,-4.53587161064148,4.2250696206092835,0.6928603583574295,0.8458934408426285,3.790866343975067,0.07573420640081167,1.0749031949043273,0.012856622780673206,0.027951191607862712,0.22403234109282494
6,11.0,97,0.9715,97,97,-4.464383087158203,3.828729741573334,0.6929433727264405,0.7877599710226059,3.7684685468673704,0.047391546331346034,1.0735519623756409,0.005970919979736209,0.019212435856461527,0.17993009999394416
